iter	Passed	Remaining
0	2345	2343325
1	4764	2377509
2	7187	2388518
3	9221	2296042
4	11082	2205482
5	12852	2129242
6	14391	2041498
7	16590	2057276
8	18420	2028312
9	20513	2030806
10	22220	1997869
11	24352	2005030
12	26785	2033666
13	29809	2099459
14	45417	2982413
15	63122	3882035
16	65858	3808164
17	68264	3724221
18	70805	3655820
19	73074	3580646
20	75142	3503091
21	77334	3437848
22	79515	3377664
23	81526	3315428
24	83882	3271405
25	85973	3220700
26	87878	3166864
27	90483	3141059
28	92637	3101766
29	94391	3052004
30	95673	2990570
31	97794	2958270
32	99488	2915322
33	101634	2887617
34	102877	2836484
35	104644	2802145
36	106127	2762176
37	107563	2723064
38	108831	2681730
39	109958	2639015
40	111968	2618979
41	113647	2592239
42	114767	2554245
43	116361	2528219
44	117866	2501383
45	119813	2484821
46	121476	2463130
47	123008	2439668
48	124891	2423918
49	126620	2405795
50	128036	2382487
51	129304	2357314
52	130637	2334223
53	132671	2324201
54	134921	2318196
55	136882	2307443
56	139132	2301792
57	140470	2281428
58	141775	2261192
59	144102	2257612
60	146515	2255380
61	148017	2239355
62	149237	2219609
63	150832	2205929
64	151950	2185743
65	153640	2174251
66	155698	2168159
67	157332	2156379
68	159520	2152367
69	160751	2135703
70	162350	2124280
71	164180	2116101
72	165763	2104966
73	167720	2098777
74	169106	2085643
75	170864	2077354
76	172845	2071904
77	174810	2066350
78	176477	2057411
79	178297	2050422
80	180206	2044567
81	181829	2035600
82	182969	2021483
83	184887	2016155
84	186924	2012188
85	188697	2005455
86	190285	1996900
87	192218	1992084
88	194030	1986092
89	195713	1978882
90	197702	1974848
91	199213	1966155
92	200675	1957121
93	202390	1950697
94	204210	1945369
95	205604	1936105
96	207194	1928829
97	209448	1927783
98	210415	1914989
99	211803	1906233
100	213623	1901462
101	215129	1893979
102	216428	1884816
103	217891	1877222
104	219356	1869751
105	220981	1863747
106	222489	1856849
107	224116	1851033
108	225867	1846311
109	227705	1842342
110	229036	1834356
111	230987	1831404
112	232253	1823090
113	233548	1815124
114	234973	1808274
115	236192	1799948
116	237890	1795364
117	239293	1788618
118	241115	1785068
119	242372	1777401
120	243535	1769154
121	244781	1761625
122	246038	1754274
123	247225	1746530
124	248341	1738393
125	249668	1731829
126	250914	1724790
127	252139	1717700
128	253562	1712041
129	254718	1704655
130	255889	1697462
131	257212	1691369
132	258593	1685718
133	259870	1679462
134	261184	1673516
135	262406	1667053
136	263742	1661384
137	264940	1654916
138	266120	1648418
139	267342	1642244
140	268370	1634966
141	269706	1629632
142	270917	1623608
143	272286	1618592
144	273551	1613013
145	275252	1610038
146	276694	1605582
147	278101	1600962
148	279449	1596051
149	280877	1591636
150	282487	1588289
151	283765	1583110
152	285216	1578941
153	286427	1573490
154	288057	1570380
155	289337	1565390
156	291092	1562999
157	292695	1559808
158	294496	1557681
159	295951	1553745
160	297719	1551468
161	298977	1546564
162	301101	1546146
163	302904	1544073
164	304335	1540122
165	305596	1535345
166	306813	1530391
167	307989	1525280
168	309371	1521230
169	310816	1517516
170	312642	1515677
171	314126	1512191
172	315556	1508467
173	317023	1504952
174	318472	1501368
175	319858	1497521
176	321116	1493101
177	322289	1488324
178	323910	1485644
179	325262	1481753
180	326620	1477912
181	328334	1475703
182	329583	1471419
183	331201	1468806
184	332622	1465336
185	334069	1462002
186	335472	1458498
187	336908	1455158
188	338287	1451595
189	339735	1448345
190	341029	1444464
191	342400	1440935
192	343651	1436926
193	345089	1433723
194	346627	1430947
195	348397	1429139
196	350013	1426703
197	351913	1425426
198	353461	1422728
199	355113	1420452
200	356375	1416636
201	357899	1413879
202	359455	1411261
203	360946	1408399
204	362369	1405285
205	363790	1402184
206	365193	1399024
207	366751	1396477
208	368227	1393627
209	369401	1389652
210	370879	1386844
211	372390	1384167
212	373836	1381264
213	375364	1378674
214	376704	1375408
215	378491	1373784
216	380143	1371668
217	381308	1367814
218	382642	1364584
219	384763	1364162
220	385950	1360432
221	387455	1357840
222	388794	1354679
223	390137	1351548
224	391843	1349681
225	393562	1347865
226	395000	1345089
227	396756	1343403
228	398214	1340714
229	399774	1338376
230	401417	1336321
231	403087	1334359
232	404562	1331757
233	406128	1329464
234	407779	1327451
235	409525	1325751
236	410862	1322735
237	412532	1320797
238	413939	1318026
239	415253	1314968
240	416744	1312486
241	418348	1310364
242	419601	1307153
243	421072	1304635
244	422459	1301864
245	423930	1299364
246	425116	1296004
247	426445	1293091
